id,label,occ_field,weighted_avg_income
6005,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fisheries, and Forestry",40259.64815192023
7740,Structural Metal Fabricators and Fitters,Production,42462.66725294442
7960,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production,37376.0379666307
8540,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Production,27516.091695776107
4200,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance,39908.78138393442
1920,Chemical Technicians,"Life, Physical, and Social Science",49866.794811393396
1450,Materials Engineers,Architecture and Engineering,82901.23922865138
4500,Barbers,Personal Care and Service,15778.14036912706
9240,Railroad Conductors and Yardmasters,Transportation and Material Moving,65524.784977518124
7540,Locksmiths and Safe Repairers,"Installation, Maintenance, and Repair",33259.948197688944
2800,Announcers,"Arts, Design, Entertainment, Sports, and Media",45190.97789575335
1760,"Physical Scientists, nec","Life, Physical, and Social Science",95606.25258385064
8330,Shoe and Leather Workers and Repairers,Production,24818.71406585653
8460,"Textile, Apparel, and Furnishings workers, nec",Production,28581.78542249674
6250,"Cement Masons, Concrete Finishers, and Terrazzo Workers",Construction,30931.424839996525
6940,"Extraction workers, nec",Extraction,62368.4056400454
1200,Actuaries,Computer and Mathematical,148479.57104708304
9200,Locomotive Engineers and Operators,Transportation and Material Moving,73360.63531145615
10,Chief executives and legislators/public administration,"Management in Business, Science, and Arts",162279.86198830526
4900,"Models, Demonstrators, and Product Promoters",Sales and Related,22619.931599077572
1240,"Mathematical science occupations, nec",Computer and Mathematical,94321.86624259027
5900,"Office Machine Operators, Except Computer",Office and Administrative Support,30630.22028714109
9560,"Conveyor operators and tenders, and hoist and winch operators",Transportation and Material Moving,41968.62399088191
1840,"Social Scientists, nec","Life, Physical, and Social Science",65455.83028821401
9260,"Subway, Streetcar, and Other Rail Transportation Workers",Transportation and Material Moving,59746.93468112899
9300,"Sailors and marine oilers, and ship engineers",Transportation and Material Moving,55070.66602272454
3120,Podiatrists,Healthcare Practitioners and Technicians,135264.2318551966
9310,Ship and Boat Captains and Operators,Transportation and Material Moving,66714.48505722037
9150,"Motor Vehicle Operators, All Other",Transportation and Material Moving,23916.819608065398
8150,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production,51704.1077441524
1310,"Surveyors, Cartographers, and Photogrammetrists",Architecture and Engineering,54165.75385946014
510,"Buyers and Purchasing Agents, Farm Products",Business Operations Specialists,48934.14484325647
7610,"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair",20646.28350612184
7930,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production,36212.55591391021
3250,Veterinarians,Healthcare Practitioners and Technicians,86117.67530152747
7940,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic",Production,41963.8163126489
8860,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Production,25552.88676652777
1640,Conservation Scientists and Foresters,"Life, Physical, and Social Science",52949.8897171116
8250,Prepress Technicians and Workers,Production,44319.79209931846
8850,Adhesive Bonding Machine Operators and Tenders,Production,32899.10841117296
5560,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support,51332.664730471435
3040,Optometrists,Healthcare Practitioners and Technicians,102623.48946753588
1700,Astronomers and Physicists,"Life, Physical, and Social Science",98891.7929861863
5030,"Communications Equipment Operators, All Other",Office and Administrative Support,61775.480814060254
3750,Fire Inspectors,Protective Service,64878.240348949934
7830,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production,30753.40420359285
7300,Control and Valve Installers and Repairers,"Installation, Maintenance, and Repair",53876.092116018895
1710,Atmospheric and Space Scientists,"Life, Physical, and Social Science",112089.92686686313
6830,"Explosives Workers, Ordnance Handling Experts, and Blasters",Extraction,53636.78640709549
1520,"Petroleum, mining and geological engineers, including mining safety engineers",Architecture and Engineering,108252.65407190635
6120,Forest and Conservation Workers,"Farming, Fisheries, and Forestry",38221.19668941729
8400,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",Production,27754.18136215922
7350,"Maintenance Workers, Machinery","Installation, Maintenance, and Repair",42969.69256732417
6010,Agricultural Inspectors,"Farming, Fisheries, and Forestry",51671.85942274658
9230,"Railroad Brake, Signal, and Switch Operators",Transportation and Material Moving,50681.974500945806
9420,"Transportation workers, nec",Transportation and Material Moving,47441.083373951646
3600,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support,27989.20752379302
4940,Telemarketers,Sales and Related,25748.329127328172
3260,"Health Diagnosing and Treating Practitioners, nec",Healthcare Practitioners and Technicians,34203.63504110955
1420,Environmental Engineers,Architecture and Engineering,80907.80771088983
1020,"Software Developers, Applications and Systems Software",Computer and Mathematical,108444.21206542995
5240,Customer Service Representatives,Office and Administrative Support,40214.990490182
4640,Residential Advisors,Personal Care and Service,38307.25569086768
1100,Network and Computer Systems Administrators,Computer and Mathematical,76148.36969019254
3320,Diagnostic Related Technologists and Technicians,Healthcare Practitioners and Technicians,67581.79004917198
20,General and Operations Managers,"Management in Business, Science, and Arts",94521.99684026201
4140,Dishwashers,Food Preparation and Serving,16141.893418522268
7630,"Other Installation, Maintenance, and Repair Workers Including Wind Turbine Service Technicians, and Commercial Divers, and Signal and Track Switch Repairers","Installation, Maintenance, and Repair",35969.14066681431
5840,Insurance Claims and Policy Processing Clerks,Office and Administrative Support,45335.98023192093
140,Industrial Production Managers,"Management in Business, Science, and Arts",84122.6729185374
810,Appraisers and Assessors of Real Estate,Financial Specialists,51440.01288580512
4150,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving,14684.836051771523
7550,Manufactured Building and Mobile Home Installers,"Installation, Maintenance, and Repair",29086.55025182334
3910,Private Detectives and Investigators,Protective Service,64748.92207563523
420,Social and Community Service Managers,"Management in Business, Science, and Arts",69574.22775785855
850,Personal Financial Advisors,Financial Specialists,120700.19396832125
4050,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving,15703.514167598882
4610,Personal Care Aides,Personal Care and Service,25536.00358350148
4120,"Food Servers, Nonrestaurant",Food Preparation and Serving,22226.599626473806
4460,Funeral Service Workers and Embalmers,Personal Care and Service,34939.44014713287
7130,Security and Fire Alarm Systems Installers,"Installation, Maintenance, and Repair",45332.57526991554
3000,Chiropractors,Healthcare Practitioners and Technicians,83545.90753584741
2150,"Legal Support Workers, nec",Legal,64552.24704471451
7120,Electronic Home Entertainment Equipment Installers and Repairers,"Installation, Maintenance, and Repair",40046.558430654004
7410,Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair",68085.1361837157
820,Budget Analysts,Financial Specialists,88934.53377090197
7260,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers, nec","Installation, Maintenance, and Repair",27161.94649895648
930,"Tax Examiners and Collectors, and Revenue Agents",Financial Specialists,67259.84761262225
9360,Automotive and Watercraft Service Attendants,Transportation and Material Moving,21906.51050288551
830,Credit Analysts,Financial Specialists,76030.68488687258
7560,Riggers,"Installation, Maintenance, and Repair",54093.1941103902
220,Constructions Managers,"Management in Business, Science, and Arts",63959.801946896085
3400,Emergency Medical Technicians and Paramedics,Healthcare Practitioners and Technicians,53262.71629012398
910,Credit Counselors and Loan Officers,Financial Specialists,85894.58130668408
5010,"Switchboard Operators, Including Answering Service",Office and Administrative Support,35406.22201592609
4300,First-Line Supervisors of Gaming Workers,Personal Care and Service,55768.68034255999
1050,Computer Support Specialists,Computer and Mathematical,64192.56844258683
110,Computer and Information Systems Managers,"Management in Business, Science, and Arts",111832.5855860423
4830,Travel Agents,Sales and Related,43982.9013710485
5220,"Court, Municipal, and License Clerks",Office and Administrative Support,36230.543171969424
6730,Highway Maintenance Workers,Construction,40966.63752040091
6720,Hazardous Materials Removal Workers,Construction,39046.90348385957
160,"Transportation, Storage, and Distribution Managers","Management in Business, Science, and Arts",61076.367997940804
720,Meeting and Convention Planners,Business Operations Specialists,56066.205526080084
300,Architectural and Engineering Managers,"Management in Business, Science, and Arts",132028.53131302414
8040,"Metal Furnace Operators, Tenders, Pourers, and Casters",Production,45015.66052905632
1400,Computer Hardware Engineers,Architecture and Engineering,108133.51221793276
100,Administrative Services Managers,"Management in Business, Science, and Arts",76304.44252334222
600,Cost Estimators,Business Operations Specialists,67262.54938547224
3630,Massage Therapists,Healthcare Support,24728.771396489683
1060,Database Administrators,Computer and Mathematical,90005.61739032202
7510,"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair",32582.210145545687
3700,First-Line Supervisors of Correctional Officers,Protective Service,62264.945693840455
3610,Occupational Therapy Assistants and Aides,Healthcare Support,48061.56321656011
700,Logisticians,Business Operations Specialists,65678.63599247343
3140,Audiologists,Healthcare Practitioners and Technicians,89430.23957951751
2050,"Directors, Religious Activities and Education",Community and Social Services,45192.94143358415
1900,Agricultural and Food Science Technicians,"Life, Physical, and Social Science",51927.50782582529
7160,Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair",32802.29881592491
9410,Transportation Inspectors,Transportation and Material Moving,60840.273899257794
3620,Physical Therapist Assistants and Aides,Healthcare Support,39316.90968805479
2440,Library Technicians,"Education, Training, and Library",30366.80635917651
3900,Animal Control,Protective Service,35859.46205713025
940,Tax Preparers,Financial Specialists,49595.1641868267
2920,"Television, Video, and Motion Picture Camera Operators and Editors","Arts, Design, Entertainment, Sports, and Media",49028.66244928337
840,Financial Analysts,Financial Specialists,109216.81555825887
2860,"Media and Communication Workers, nec","Arts, Design, Entertainment, Sports, and Media",37017.68361685356
4400,Gaming Services Workers,Personal Care and Service,32489.11439584238
2550,"Education, Training, and Library Workers, nec","Education, Training, and Library",57445.73932355645
8940,Tire Builders,Production,41424.83157817136
5200,Brokerage Clerks,Office and Administrative Support,36772.00367271051
5150,Procurement Clerks,Office and Administrative Support,71520.63939487371
5500,Cargo and Freight Agents,Office and Administrative Support,46329.03970330339
4520,"Personal Appearance Workers, nec",Personal Care and Service,19597.413528537265
900,Financial Examiners,Financial Specialists,101183.4508693855
7710,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production,45413.67285971456
5230,"Credit Authorizers, Checkers, and Clerks",Office and Administrative Support,58774.77763711143
4340,Animal Trainers,Personal Care and Service,21707.53310223368
3210,Recreational Therapists,Healthcare Practitioners and Technicians,56656.38861824379
7730,Engine and Other Machine Assemblers,Production,45901.65336187459
6710,Fence Erectors,Construction,23090.11222911186
360,Natural Science Managers,"Management in Business, Science, and Arts",120694.41834093633
5340,New Account Clerks,Office and Administrative Support,50702.62550373522
7110,"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair",45819.75098416729
6740,Rail-Track Laying and Maintenance Equipment Operators,Construction,54137.333258958155
3200,Radiation Therapists,Healthcare Practitioners and Technicians,84645.16058156158
5130,Gaming Cage Workers,Office and Administrative Support,24581.330163004568
330,Gaming Managers,"Management in Business, Science, and Arts",48962.98985062988
8210,"Tool Grinders, Filers, and Sharpeners",Production,33003.28159623951
8060,"Model Makers and Patternmakers, Metal and Plastic",Production,46351.2307388384
7850,Food Cooking Machine Operators and Tenders,Production,27389.542852664872
6500,Reinforcing Iron and Rebar Workers,Construction,45039.00376820728
7920,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production,42166.87828571599
1930,"Geological and Petroleum Technicians, and Nuclear Technicians","Life, Physical, and Social Science",64588.0326222631
7030,Avionics Technicians,"Installation, Maintenance, and Repair",61004.758196836396
5165,"Financial Clerks, nec",Office and Administrative Support,73103.72876581074
7855,"Food Processing, nec",Production,43278.74003908536
