Id,Label,occ_field,weighted_avg_income,modularity_class,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality,stat_inf_class
710,Management Analysts,Business Operations Specialists,61654.762826,1,106,96,202,1057983.45,876574.72,1934558.17,3,0.532609,0.592971,1213.519746,0.078188,0.071607,0.005385,0.574326,88
720,Meeting and Convention Planners,Business Operations Specialists,50625.86113,1,53,55,108,473234.13,351137.5,824371.63,4,0.505155,0.545351,153.860732,0.045493,0.047932,0.002418,0.313022,32
730,Other Business Operations and Management Specialists,Business Operations Specialists,53108.010958,1,113,116,229,1155363.93,1134682.45,2290046.38,3,0.561783,0.624339,955.699441,0.092072,0.085892,0.004827,0.646999,19
800,Accountants and Auditors,Financial Specialists,53248.114178,7,115,127,242,1111936.41,699906.21,1811842.62,3,0.558935,0.631141,1257.590046,0.089018,0.09308,0.00516,0.627876,75
1800,Economists and market researchers,"Life, Physical, and Social Science",64027.913964,1,46,35,81,101789.76,119902.65,221692.41,4,0.474194,0.508692,72.75734,0.035109,0.030246,0.002262,0.248301,70
2010,Social Workers,Community and Social Services,42112.555604,5,125,136,261,1787833.31,1607895.81,3395729.12,3,0.582563,0.650038,1488.508881,0.097426,0.100576,0.005886,0.706143,28
2100,"Lawyers, and judges, magistrates, and other judicial workers",Legal,116807.21327,5,160,33,193,1145094.1,98977.81,1244071.91,4,0.475728,0.508314,816.159523,0.105513,0.026564,0.008124,0.768218,162
2200,Postsecondary Teachers,"Education, Training, and Library",50935.810552,5,145,133,278,1210635,866912.57,2077547.57,4,0.56611,0.639834,3502.665975,0.097021,0.088495,0.008135,0.719859,101
2300,Preschool and Kindergarten Teachers,"Education, Training, and Library",27030.488997,5,103,111,214,1984941.52,1541532.98,3526474.5,3,0.561783,0.620559,653.211516,0.08602,0.094172,0.004522,0.607722,10
2310,Elementary and Middle School Teachers,"Education, Training, and Library",44086.571724,5,155,148,303,3491311.18,2716703.55,6208014.73,3,0.59434,0.664777,2588.911138,0.111869,0.106232,0.007052,0.807606,112
2340,Other Teachers and Instructors,"Education, Training, and Library",22920.860362,5,157,153,310,2283245.1,1560328.99,3843574.09,3,0.59434,0.668556,3015.055724,0.113481,0.108338,0.007415,0.825811,136
2550,"Education, Training, and Library Workers, nec","Education, Training, and Library",45243.11385,7,48,42,90,407326.69,261560.83,668887.52,3,0.489456,0.524565,114.889351,0.041437,0.035101,0.00234,0.295416,91
2825,Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media",57666.233989,5,59,65,124,344128.04,371183.08,715311.12,4,0.504577,0.552343,245.596943,0.051697,0.05166,0.002706,0.361065,85
2850,Writers and Authors,"Arts, Design, Entertainment, Sports, and Media",39823.470474,5,59,51,110,402177.39,318290.16,720467.55,4,0.488372,0.53099,185.545445,0.053876,0.037732,0.002834,0.381271,17
3060,Physicians and Surgeons,Healthcare Practitioners and Technicians,142207.782678,0,145,24,169,1064720.08,385589.08,1450309.16,4,0.454171,0.485639,803.30452,0.099137,0.014889,0.007469,0.724717,67
3130,Registered Nurses,Healthcare Practitioners and Technicians,59325.332356,0,133,114,247,3597896.5,1870582.34,5468478.84,3,0.555416,0.619426,2042.728743,0.096914,0.081775,0.006322,0.702412,18
3530,"Health Technologists and Technicians, nec",Healthcare Practitioners and Technicians,29981.374904,0,82,65,147,573020.65,382894.98,955915.63,3,0.515187,0.558957,668.656492,0.069819,0.051996,0.003746,0.488344,94
4110,Waiters and Waitresses,Food Preparation and Serving,16189.317975,7,181,242,423,5305764.39,5260279.96,10566044.35,3,0.680556,0.771353,6836.651273,0.124155,0.14573,0.008347,0.895807,144
4230,Maids and Housekeeping Cleaners,Building and Grounds Cleaning and Maintenance,15259.875111,7,159,155,314,4198533.58,2072227.37,6270760.95,3,0.596752,0.671202,4315.074406,0.107628,0.109454,0.007829,0.76547,156
4320,First-Line Supervisors of Personal Service Workers,Personal Care and Service,21282.062699,1,61,61,122,442190.87,340818.01,783008.88,3,0.517606,0.557445,233.225266,0.053936,0.054925,0.002756,0.38028,87
4540,Tour and Travel Guides,Personal Care and Service,17294.949394,7,31,41,72,149153.7,169892.63,319046.33,3,0.496063,0.528345,30.021709,0.032476,0.037034,0.001492,0.221805,82
4610,Personal Care Aides,Personal Care and Service,19545.144471,7,149,148,297,3640582.64,2627835.36,6268418,3,0.59354,0.664399,3046.336853,0.104815,0.105547,0.006776,0.747735,153
4700,First-Line Supervisors of Sales Workers,Sales and Related,36328.623107,7,195,208,403,2650575.06,2422231.34,5072806.4,3,0.649485,0.733938,7013.027295,0.127339,0.134565,0.009137,0.925168,151
4720,Cashiers,Sales and Related,15366.720641,7,208,253,461,8170814.95,7296284.61,15467099.56,3,0.692308,0.783825,10332.761497,0.128685,0.145197,0.009892,0.936063,155
4760,Retail Salespersons,Sales and Related,22613.424441,2,191,199,390,12216180.14,3930991.15,16147171.29,3,0.63913,0.722978,4163.959886,0.129693,0.134365,0.008464,0.932229,149
4965,"Sales and Related Workers, All Other",Sales and Related,27090.872225,2,114,123,237,1188047.72,1078795.69,2266843.41,3,0.569032,0.633409,901.066481,0.09192,0.098513,0.00492,0.649165,114
5100,Bill and Account Collectors,Office and Administrative Support,30767.108986,7,84,76,160,584090.02,412409.76,996499.78,3,0.525,0.573318,258.156214,0.073312,0.066173,0.003635,0.516456,90
5120,"Bookkeeping, Accounting, and Auditing Clerks",Office and Administrative Support,28934.988211,7,163,171,334,3193731.47,2633309.98,5827041.45,3,0.61165,0.690098,3883.560932,0.114065,0.121767,0.00773,0.823977,99
5240,Customer Service Representatives,Office and Administrative Support,32469.207373,7,182,215,397,4166501.81,3926484.5,8092986.31,3,0.653333,0.740741,4985.500624,0.125378,0.136046,0.008053,0.904465,41
5700,Secretaries and Administrative Assistants,Office and Administrative Support,33514.531908,7,217,216,433,5420772.24,4958566.12,10379338.36,3,0.651403,0.740741,7270.76926,0.136,0.135592,0.009988,1,158
5860,"Office Clerks, General",Office and Administrative Support,28520.76405,7,164,166,330,3465271.18,2534584.52,5999855.7,3,0.608276,0.684807,3940.17338,0.116742,0.119692,0.007349,0.836263,172
7315,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair",27962.265225,3,11,9,20,35643.16,40544.52,76187.68,4,0.417219,0.44161,52.846472,0.006575,0.003793,0.000981,0.030392,174
9050,Flight Attendants and Transportation Workers and Attendants,Transportation and Material Moving,41888.98583,7,57,43,100,317101.46,245883.57,562985.03,3,0.495506,0.529478,489.797152,0.048174,0.03504,0.00275,0.332682,80
9130,Driver/Sales Workers and Truck Drivers,Transportation and Material Moving,27555.504942,7,101,103,204,1038998.96,833233.76,1872232.72,3,0.556818,0.611867,2784.928946,0.072434,0.076731,0.005169,0.512072,132
140,Industrial Production Managers,"Management in Business, Science, and Arts",77340.470074,1,26,28,54,139501.82,165437.3,304939.12,4,0.484083,0.510582,75.547817,0.02279,0.024355,0.001455,0.150709,81
150,Purchasing Managers,"Management in Business, Science, and Arts",67418.805144,1,31,33,64,291540.94,213662.46,505203.4,4,0.478308,0.510204,43.157925,0.029561,0.027299,0.001697,0.200885,13
160,"Transportation, Storage, and Distribution Managers","Management in Business, Science, and Arts",52081.485782,1,26,17,43,163084.44,146257.23,309341.67,4,0.458897,0.483371,17.67429,0.025121,0.013592,0.001316,0.163236,13
310,Food Service and Lodging Managers,"Management in Business, Science, and Arts",30381.709707,1,109,140,249,1928251.08,1821049.01,3749300.09,3,0.587217,0.655329,1324.01277,0.088348,0.110954,0.004736,0.619221,24
540,"Claims Adjusters, Appraisers, Examiners, and Investigators",Business Operations Specialists,44889.353831,1,76,76,152,697195.69,553014.66,1250210.35,3,0.520661,0.570673,263.121402,0.067859,0.065216,0.003284,0.470492,36
560,"Compliance Officers, Except Agriculture",Business Operations Specialists,66202.839232,1,59,48,107,411239.3,321357.37,732596.67,3,0.5,0.536281,228.956444,0.045596,0.03807,0.003072,0.331376,118
620,"Human Resources, Training, and Labor Relations Specialists",Business Operations Specialists,55449.628377,1,115,122,237,1629799.77,1440677.67,3070477.44,3,0.569767,0.633031,1064.891075,0.090904,0.093243,0.005027,0.647176,71
1000,Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers,Computer and Mathematical,64442.758694,3,103,98,201,1039058.21,713614.33,1752672.54,3,0.547826,0.603175,1534.43728,0.074447,0.069363,0.005032,0.528619,39
1220,Operations Research Analysts,Computer and Mathematical,67148.286888,3,32,35,67,126503.12,142349.87,268852.99,3,0.479869,0.512472,237.221652,0.027251,0.025391,0.002105,0.188594,86
1840,"Social Scientists, nec","Life, Physical, and Social Science",58350.541357,5,34,21,55,96941.59,101612.1,198553.69,4,0.4647,0.49093,64.104465,0.029641,0.016849,0.001809,0.202628,104
1960,"Life, Physical, and Social Science Technicians, nec","Life, Physical, and Social Science",38179.429267,5,90,71,161,462840.99,346978.23,809819.22,3,0.523753,0.568783,1067.903904,0.071037,0.047607,0.004347,0.503014,152
2000,Counselors,Community and Social Services,41116.917326,5,98,110,208,1564173.52,1207466.83,2771640.35,3,0.556116,0.61678,620.286171,0.080548,0.089315,0.004497,0.578952,1
2060,"Religious Workers, nec",Community and Social Services,24144.138914,5,37,40,77,235183.83,183010.39,418194.22,3,0.491639,0.524565,52.54662,0.032211,0.035212,0.001769,0.220741,70
2540,Teacher Assistants,"Education, Training, and Library",18753.810348,7,167,152,319,2535524.52,1583503.75,4119028.27,3,0.591153,0.666289,3243.611248,0.115286,0.110031,0.00776,0.825874,170
2600,Artists and Related Workers,"Arts, Design, Entertainment, Sports, and Media",18377.844437,5,69,36,105,513593.71,359969.77,873563.48,4,0.491091,0.521542,170.089282,0.058502,0.031308,0.003225,0.408965,55
2720,"Athletes, Coaches, Umpires, and Related Workers","Arts, Design, Entertainment, Sports, and Media",19950.53944,5,68,60,128,485498.1,397743.95,883242.05,4,0.505155,0.548942,291.917582,0.056603,0.049883,0.003006,0.384237,116
2810,"Editors, News Analysts, Reporters, and Correspondents","Arts, Design, Entertainment, Sports, and Media",46090.999632,5,69,64,133,450036.34,469460.37,919496.71,4,0.505155,0.551965,289.98535,0.056336,0.04857,0.003321,0.40442,62
3540,"Healthcare Practitioners and Technical Occupations, nec",Healthcare Practitioners and Technicians,52062.620509,0,36,33,69,196684.38,129646.45,326330.83,4,0.475728,0.508692,128.35195,0.028858,0.025641,0.002162,0.210491,45
3730,"Supervisors, Protective Service Workers, All Other",Protective Service,48422.777184,6,13,16,29,62342.62,65763.08,128105.7,4,0.441884,0.46901,321.053084,0.009923,0.012391,0.000934,0.055781,109
4010,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving,23703.546474,7,93,128,221,1213636.33,1326059.97,2539696.3,3,0.574219,0.639834,881.110736,0.080585,0.09982,0.00401,0.555573,147
4030,Food Preparation Workers,Food Preparation and Serving,15430.854817,7,110,120,230,2237287.83,1744044.86,3981332.69,3,0.568299,0.630763,980.119434,0.090932,0.092331,0.004877,0.634873,159
4040,Bartenders,Food Preparation and Serving,21481.510322,7,84,113,197,1168164.5,982974.28,2151138.78,3,0.565385,0.623961,1018.524574,0.073289,0.089891,0.004152,0.515217,98
4050,"Combined Food Preparation and Serving Workers, Including Fast Food",Food Preparation and Serving,15386.837532,7,86,84,170,1320960.36,1106827.28,2427787.64,3,0.53978,0.588057,905.952487,0.071418,0.069278,0.003899,0.49469,138
4150,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",Food Preparation and Serving,12804.361332,7,87,91,178,1221180.76,798213.69,2019394.45,3,0.543103,0.595238,424.106081,0.074586,0.076303,0.003648,0.504618,148
4200,First-Line Supervisors of Housekeeping and Janitorial Workers,Building and Grounds Cleaning and Maintenance,22960.246973,7,43,37,80,202621.44,172354.28,374975.72,4,0.493289,0.523998,83.388715,0.04255,0.033894,0.00199,0.286818,64
4220,Janitors and Building Cleaners,Building and Grounds Cleaning and Maintenance,17549.700359,7,137,138,275,2702735.92,1731112.81,4433848.73,3,0.585657,0.653061,2826.898354,0.098691,0.099191,0.006554,0.702475,111
4620,Recreation and Fitness Workers,Personal Care and Service,19586.762352,7,102,114,216,1037707.98,1053325.53,2091033.51,3,0.561783,0.622827,898.997252,0.079159,0.088926,0.004681,0.569203,108
4650,"Personal Care and Service Workers, All Other",Personal Care and Service,15680.261176,7,60,59,119,477709.76,313898.86,791608.62,4,0.509238,0.550831,125.948921,0.053125,0.052542,0.002739,0.372533,53
4810,Insurance Sales Agents,Sales and Related,42386.377584,2,96,85,181,1081717.54,904494.17,1986211.71,3,0.538462,0.588057,531.600469,0.08136,0.073419,0.004397,0.5803,157
4840,"Sales Representatives, Services, All Other",Sales and Related,52829.921354,2,86,113,199,1673582.78,2509724.42,4183307.2,3,0.563218,0.622827,439.966364,0.078841,0.089813,0.003636,0.548962,50
4850,"Sales Representatives, Wholesale and Manufacturing",Sales and Related,36459.739448,2,100,165,265,2794494.71,8998975.34,11793470.05,3,0.605769,0.682918,1596.87881,0.081356,0.120013,0.004562,0.577478,97
4950,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sales and Related,9728.689195,2,103,81,184,850026.92,499681.63,1349708.55,3,0.53912,0.585412,253.555284,0.089128,0.073263,0.00447,0.630202,124
5000,First-Line Supervisors of Office and Administrative Support Workers,Office and Administrative Support,43962.237773,7,121,136,257,1026725.89,890705.31,1917431.2,3,0.575718,0.646636,1751.370564,0.094131,0.101329,0.005451,0.669292,102
5160,Bank Tellers,Office and Administrative Support,23697.63326,7,122,113,235,1579676.64,1084367.35,2664043.99,3,0.561069,0.621693,798.042874,0.095726,0.090153,0.005296,0.680251,27
5310,"Interviewers, Except Eligibility and Loan",Office and Administrative Support,28455.368419,7,106,97,203,761649.75,543052.91,1304702.66,3,0.55125,0.604308,776.424406,0.084599,0.07943,0.004681,0.598597,137
5330,Loan Interviewers and Clerks,Office and Administrative Support,31035.665907,7,93,108,201,819799.32,719491.91,1539291.23,3,0.556116,0.615268,563.106769,0.078381,0.086229,0.004095,0.555228,122
5350,Correspondent clerks and order clerks,Office and Administrative Support,27494.566071,7,70,89,159,536921.82,355703.2,892625.02,3,0.541104,0.592593,512.26062,0.060184,0.071074,0.003142,0.41494,143
5360,"Human Resources Assistants, Except Payroll and Timekeeping",Office and Administrative Support,42310.992603,7,56,41,97,249574.5,230728.28,480302.78,4,0.49,0.524943,135.477681,0.050364,0.034951,0.002469,0.346204,34
5400,Receptionists and Information Clerks,Office and Administrative Support,23705.035393,7,206,192,398,5067735.41,3642965.17,8710700.58,3,0.628205,0.713152,4998.362326,0.132212,0.13193,0.009547,0.957757,175
5410,Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support,30512.737138,7,70,72,142,448055.92,272142.58,720198.5,3,0.524376,0.569917,196.718313,0.061097,0.064554,0.003088,0.428971,36
5520,Dispatchers,Office and Administrative Support,34501.205221,7,87,77,164,695072.54,461695.99,1156768.53,3,0.528144,0.575964,894.97819,0.072203,0.058324,0.003907,0.499213,65
5620,Stock Clerks and Order Fillers,Office and Administrative Support,22811.762666,7,142,150,292,2195105.99,1739841.82,3934947.81,3,0.592742,0.665533,3307.504478,0.098941,0.106944,0.006869,0.701183,133
5840,Insurance Claims and Policy Processing Clerks,Office and Administrative Support,36899.766564,7,72,79,151,809867.61,512394.82,1322262.43,3,0.528777,0.577853,300.406916,0.0661,0.064769,0.003093,0.448729,6
5940,"Office and administrative support workers, nec",Office and Administrative Support,33813.488494,7,132,133,265,1620301.01,1265156.22,2885457.23,3,0.576471,0.644747,2053.137776,0.102741,0.100928,0.005933,0.738208,3
7200,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair",32471.682101,3,26,14,40,79205.07,31615.12,110820.19,4,0.442771,0.468254,470.153772,0.013151,0.006857,0.002407,0.080215,174
7220,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,"Installation, Maintenance, and Repair",27588.795431,3,5,4,9,17210.28,4887.18,22097.46,5,0.347518,0.363228,15.400669,0.002888,0.000799,0.00062,0.008581,174
7750,"Assemblers and Fabricators, nec",Production,26070.200427,7,134,147,281,1579807.47,1400933.75,2980741.22,3,0.591153,0.662509,6370.264262,0.080369,0.088144,0.00691,0.555529,145
8965,Other production workers including semiconductor processors and cooling and freezing equipment operators,Production,26991.90148,7,128,122,250,962562.76,660940.47,1623503.23,3,0.571244,0.633787,2577.155899,0.089324,0.081247,0.005879,0.624188,150
9100,Bus and Ambulance Drivers and Attendants,Transportation and Material Moving,22984.695469,7,87,92,179,926790.99,849019.53,1775810.52,3,0.549191,0.599395,2477.950645,0.068448,0.067524,0.004146,0.480708,176
100,Administrative Services Managers,"Management in Business, Science, and Arts",59776.5069,1,18,17,35,180925.52,134527.53,315453.05,4,0.471658,0.493197,10.212861,0.01857,0.017264,0.000966,0.117459,173
320,Funeral Directors,"Management in Business, Science, and Arts",34719.544631,1,11,9,20,20666.01,16793.47,37459.48,4,0.448171,0.468821,2.109545,0.010805,0.009745,0.000726,0.063285,77
850,Personal Financial Advisors,Financial Specialists,74510.711332,1,51,47,98,391612.13,377196.42,768808.55,4,0.488914,0.528156,265.348296,0.043951,0.036963,0.002578,0.314445,79
910,Credit Counselors and Loan Officers,Financial Specialists,55124.803213,1,63,74,137,607040.49,588072.43,1195112.92,3,0.525,0.571807,541.871492,0.054454,0.059314,0.003027,0.385054,66
950,"Financial Specialists, nec",Financial Specialists,46065.140518,1,74,46,120,337551.36,256012.06,593563.42,3,0.491091,0.528723,361.793747,0.060155,0.035451,0.003519,0.433907,117
1020,"Software Developers, Applications and Systems Software",Computer and Mathematical,89594.702888,3,47,47,94,494643.13,526367.84,1021010.97,4,0.503425,0.538171,283.202567,0.039241,0.037363,0.002346,0.265159,40
1060,Database Administrators,Computer and Mathematical,67689.742837,3,17,15,32,110357.66,104182.37,214540.03,4,0.439243,0.466175,20.126833,0.013937,0.010774,0.001026,0.089476,81
1100,Network and Computer Systems Administrators,Computer and Mathematical,58383.916124,3,27,19,46,158285.14,101301.73,259586.87,4,0.445905,0.474679,60.048088,0.024582,0.013289,0.001452,0.166213,72
1240,"Mathematical science occupations, nec",Computer and Mathematical,73688.258946,3,23,11,34,126694.75,59373.09,186067.84,4,0.418009,0.444067,47.317944,0.019178,0.007409,0.001662,0.133575,20
1300,"Architects, Except Naval",Architecture and Engineering,55485.849833,5,23,20,43,116174.39,40513.38,156687.77,4,0.454171,0.482237,18.991109,0.022167,0.01685,0.001232,0.145099,168
2020,"Community and Social Service Specialists, nec",Community and Social Services,33202.714077,5,75,62,137,449340.23,377567.15,826907.38,3,0.511008,0.554044,218.952353,0.06732,0.054972,0.003437,0.477037,55
2140,Paralegals and Legal Assistants,Legal,45479.817527,5,82,90,172,594220.33,480407.9,1074628.23,3,0.537805,0.591459,471.36268,0.068688,0.075853,0.003832,0.495593,83
2150,"Legal Support Workers, nec",Legal,44916.50677,5,68,63,131,476921.4,380730.04,857651.44,3,0.514586,0.557067,288.052139,0.059779,0.053767,0.003218,0.426855,52
2320,Secondary School Teachers,"Education, Training, and Library",46835.107933,5,95,87,182,1237202.06,962266.95,2199469.01,3,0.533253,0.586546,984.42239,0.077054,0.070487,0.004139,0.534646,93
2400,"Archivists, Curators, and Museum Technicians","Education, Training, and Library",44202.891719,7,28,27,55,161303.1,165171.44,326474.54,4,0.470149,0.499811,30.613424,0.025172,0.024458,0.001431,0.173533,42
2630,Designers,"Arts, Design, Entertainment, Sports, and Media",34303.252895,5,110,99,209,1263679.51,997290.16,2260969.67,3,0.543773,0.601663,1257.455055,0.084789,0.077711,0.00522,0.60488,5
2840,Technical Writers,"Arts, Design, Entertainment, Sports, and Media",62799.915178,5,35,29,64,161751.72,95999.29,257751.01,3,0.460334,0.493197,121.401659,0.027957,0.022093,0.002004,0.204321,141
2910,Photographers,"Arts, Design, Entertainment, Sports, and Media",16799.246427,5,60,59,119,440919.68,252476.73,693396.41,4,0.514586,0.554233,267.017625,0.050251,0.051847,0.002808,0.344802,107
3010,Dentists,Healthcare Practitioners and Technicians,106172.012096,0,45,11,56,188409.5,108267.16,296676.66,4,0.411765,0.438587,53.281844,0.038896,0.006672,0.002677,0.283457,21
3050,Pharmacists,Healthcare Practitioners and Technicians,88333.255167,0,36,26,62,340999.57,262402.29,603401.86,4,0.454171,0.486584,144.774939,0.027598,0.016512,0.002486,0.19893,44
3600,"Nursing, Psychiatric, and Home Health Aides",Healthcare Support,23301.501201,4,159,164,323,4241920.71,3191136.08,7433056.79,3,0.604938,0.681784,2816.420599,0.110768,0.116456,0.007036,0.785261,76
3630,Massage Therapists,Healthcare Support,15190.185577,4,44,33,77,490721.17,297096.21,787817.38,4,0.485683,0.515306,119.036473,0.040427,0.0295,0.002117,0.273815,12
3640,Dental Assistants,Healthcare Support,28501.653666,4,52,55,107,958290.68,599265.48,1557556.16,3,0.511008,0.548753,134.953157,0.047413,0.049459,0.00243,0.330194,16
3650,"Medical Assistants and Other Healthcare Support Occupations, nec",Healthcare Support,25347.398448,4,147,155,302,3146465.3,2241225.39,5387690.69,3,0.595142,0.670446,2966.395,0.10694,0.107193,0.006763,0.772725,134
3930,Security Guards and Gaming Surveillance Officers,Protective Service,28952.241572,7,103,93,196,638503.34,406296.48,1044799.82,3,0.549191,0.600151,1245.393023,0.081297,0.074809,0.004848,0.569807,22
4120,"Food Servers, Nonrestaurant",Food Preparation and Serving,17283.877828,7,50,59,109,649451.6,482424.79,1131876.39,3,0.518214,0.556311,103.649948,0.048386,0.05281,0.002228,0.324108,61
4130,"Food preparation and serving related workers, nec",Food Preparation and Serving,12681.188636,7,82,87,169,1196507.03,742664.61,1939171.64,3,0.540441,0.590703,1051.007141,0.074653,0.07384,0.003743,0.507905,177
4300,First-Line Supervisors of Gaming Workers,Personal Care and Service,41922.965817,1,30,34,64,187784.81,201971.57,389756.38,3,0.491639,0.52003,64.545168,0.027444,0.034282,0.001546,0.18647,74
4800,Advertising Sales Agents,Sales and Related,51683.077218,2,67,63,130,495846,453731.23,949577.23,4,0.513388,0.556689,108.292955,0.062518,0.055704,0.002941,0.437879,141
4820,"Securities, Commodities, and Financial Services Sales Agents",Sales and Related,63142.562641,2,56,44,100,505346.71,240454.19,745800.9,4,0.496063,0.53099,89.664775,0.049394,0.040295,0.002565,0.343408,37
4920,Real Estate Brokers and Sales Agents,Sales and Related,41311.536223,2,114,92,206,1820856.97,1233382.72,3054239.69,3,0.542435,0.595616,787.134605,0.086165,0.07802,0.005355,0.623577,46
5010,"Switchboard Operators, Including Answering Service",Office and Administrative Support,22578.270584,7,33,29,62,102308.56,103075.78,205384.34,4,0.476242,0.505858,12.399265,0.034724,0.028831,0.001553,0.234115,73
5110,Billing and Posting Clerks,Office and Administrative Support,31883.206628,7,98,110,208,1276127.64,1006732.61,2282860.25,3,0.557522,0.617536,552.066264,0.083266,0.088049,0.004245,0.590448,35
5260,File Clerks,Office and Administrative Support,26356.069564,7,103,105,208,1137350.48,678105.12,1815455.6,3,0.55125,0.610355,570.816113,0.088498,0.083795,0.004361,0.618903,58
5300,"Hotel, Motel, and Resort Desk Clerks",Office and Administrative Support,19937.630926,7,80,77,157,574649.34,421772.69,996422.03,3,0.535194,0.580121,313.007937,0.070438,0.069996,0.003467,0.488807,103
5600,"Production, Planning, and Expediting Clerks",Office and Administrative Support,36584.816491,7,89,102,191,739733.11,512395.16,1252128.27,3,0.550562,0.60771,620.084434,0.074558,0.082039,0.00396,0.520963,89
5610,"Shipping, Receiving, and Traffic Clerks",Office and Administrative Support,27374.160013,7,77,91,168,748044.84,603084.65,1351129.49,3,0.545792,0.59675,412.76231,0.065425,0.075324,0.003351,0.450131,121
5800,Computer Operators,Office and Administrative Support,31686.858089,7,44,41,85,250339.13,139299.5,389638.63,4,0.498869,0.530423,141.453883,0.042486,0.03524,0.002066,0.287833,21
5810,Data Entry Keyers,Office and Administrative Support,27985.063489,7,139,114,253,1417520.29,921348.7,2338868.99,3,0.563939,0.623961,1436.634718,0.103403,0.091128,0.006185,0.737574,163
5820,Word Processors and Typists,Office and Administrative Support,25441.147469,7,84,75,159,711294.95,416171.03,1127465.98,3,0.527512,0.574074,413.474182,0.073102,0.067957,0.003582,0.506297,178
6210,Boilermakers,Construction,33120.438118,1,3,0,3,7306,0,7306,0,0,0,0,0.001548,0,0.00048,0.011004,129
